MESSAGE	MSGID
To copy entries to front-end, run function DDPXFR next	93
Account ~p1 action date entry modified	94
Account ~p1 action date entry not modified	95
Account ~p1 added to ~p2 action file	96
Account ~p1 address modified	97
Account ~p1 address not modified	98
Account ~p1 already closed	99
Account ~p1 already locked by another user	100
Account ~p1 already tied to card type ~p2	101
Account ~p1 amount = ~p2	102
For important information, select HELP when modifying Fee Transaction Amount	103
Account ~p1 closed.  Use bill maintenance to zero payment.	104
Account ~p1 converted	105
Account ~p1 converted to permanent status	106
Account ~p1 created	107
Account ~p1 currently set up as detail	108
Account ~p1 deleted	109
Account ~p1 deleted from automatic processing	110
Account ~p1 deleted from ~p2 action file	111
Account ~p1 does not match qualifiers	112
Account ~p1 exists in group ~p2	113
Account ~p1 financial statement linkages modified	114
Account ~p1 financial statement linkages not modified	115
Account ~p1 is not a statement account	116
Account ~p1 is not an asset or a liability	117
Account ~p1 is not coded for commitment processing	118
Account ~p1 is still linked	119
Account ~p1 linked	120
Account ~p1 marked as inactive	121
Account ~p1 modified	122
Account ~p1 modified.  Accrual not adjusted because:	123
Account ~p1 not added to ~p2 action file	124
Account ~p1 not closed	125
Account ~p1 not coded for negative accrual	126
Account ~p1 not converted	127
Account ~p1 not converted to permanent status	128
Account ~p1 not created	129
Account ~p1 not deleted	130
Account ~p1 not deleted from automatic processing	131
Account ~p1 not deleted from ~p2 action file	132
Account ~p1 not linked	133
Account ~p1 not marked as inactive	134
Account ~p1 not modified	135
Account ~p1 not permitted for ~p2	136
Account ~p1 not placed into non-accrual	137
Account ~p1 not re-opened	138
Account ~p1 not removed	139
Account ~p1 not removed from non-accrual	140
Account ~p1 not renewed	141
Account ~p1 not restored	142
Account ~p1 not set up in group ~p2	143
Account ~p1 payoff amount $~p2	144
Account ~p1 payoff not allowed	145
Account ~p1 placed into non-accrual	146
Account ~p1 problem loan sequence ~p2 created	147
Account ~p1 problem loan sequence ~p2 deleted	148
Account ~p1 problem loan sequence ~p2 modified	149
Account ~p1 problem loan sequence ~p2 not created	150
Account ~p1 problem loan sequence ~p2 not deleted	151
Account ~p1 problem loan sequence ~p2 not modified	152
Account ~p1 re-opened	153
Account ~p1 removed	154
Account ~p1 removed from non-accrual	155
Account ~p1 renewed	156
Account ~p1 restored	157
Account ~p1 sequence ~p2 created	158
Account ~p1 sequence ~p2 deleted	159
Account ~p1 sequence ~p2 modified	160
Account ~p1 sequence ~p2 not created	161
Account ~p1 sequence ~p2 not deleted	162
Account ~p1 sequence ~p2 not modified	163
Account ~p1 stop payment created	164
Account ~p1 stop payment deleted	165
Account ~p1 stop payment modified	166
Account ~p1 stop payment not created	167
Account ~p1 stop payment not deleted	168
Account ~p1 stop payment not modified	169
Account ~p1 unlinked	170
Run Direct (FEP only)	171
Account ~p1, check #~p2 modified	172
Account ~p1, check #~p2 not modified	173
Account ~p1, item ~p2 added	174
Account ~p1, item ~p2 deleted	175
Account ~p1, item ~p2 modified	176
Account ~p1, item ~p2 not added	177
Account ~p1, item ~p2 not deleted	178
Account ~p1, item ~p2 not modified	179
Account ~p1 reset	180
Customer ~p1 of transfer account is not a Retirement/Savings plan account beneficiary of ~p2	181
Account(s) converted	182
Account(s) created	183
Account(s) not converted	184
Account(s) not created	185
Accounts for ~p1 not reset	186
Accounts for ~p1 reset	187
Accounts modified	188
Use tran code to close with ledger balance for discount CD	189
Accounts not modified	190
Accounts not verified	191
Accounts tied to an int/div index cannot be changed	192
Accounts verified	193
Accounts reset	194
Accrual adjustment generated for ~p1	195
Accrual adjustment not generated	196
Accrual adjustment transactions will not be posted.  Due date in future.	197
Accrual adjustment:  $~p1 	198
Accrual recalculation completed	199
Accrual recalculation not complete	200
Accrual run completed	201
Accruals finished at ~p1	202
Accruals have already been submitted to run	203
Accruals not run	204
Accruals set to begin at ~p1	205
Extraneous data exists beyond trailer	206
Record count does not match trailer	207
Branch status: On-line	208
Teller status: Off-line - waiting for STF to clear	209
Plan ~p1 not on file	210
Use function ~p1	211
Penalty rate exceeds int/div rate	212
Type ~p1, transaction code ~p2 does not contain transaction fee plan	213
Transaction code considers service fees, missing transaction fee plan	214
Fee schedule for fee computation is not required in fee category ~p1, type ~p2 (CHGOPT=1)	215
Add-on payee ~p1 created	217
Add-on payee ~p1 deleted	218
Add-on payee ~p1 modified	219
Add-on payee ~p1 not created	220
Add-on payee ~p1 not deleted	221
Add-on payee ~p1 not modified	222
Add-on type ~p1 created	223
Add-on type ~p1 modified	224
Add-on type ~p1 not created	225
Add-on type ~p1 not modified	226
Additional CIF records remain to review. Begin with CIF # ~p1	227
Additional information collected	228
Additional information not collected	229
Address for ~p1 modified	230
Address for ~p1 not modified	231
Address not found	232
Adjustment exceeds withholding	233
Account defined as header account	234
Advance for account ~p1 created	235
Advance for account ~p1 modified	236
Advance for account ~p1 not created	237
Advance for account ~p1 not modified	238
All amounts within this batch are zero	239
All daily files	240
All definitions	241
All except ~p1	242
All front-end processors	243
All transactions are not for the same account	244
All userclasses	245
All userclasses assigned.  Delete userclass '*' to enter single userclasses.	246
Debit authorization has expired	247
Alphanumeric format only	248
Neg Int Posting Option cannot be 2 if Neg Accrual Option is 0	249
Enter a basis other than I or P for this assessment method	250
Sub-record ID and column already assigned to ~p1	251
Already created	252
Already exists	253
Cannot join ~p1 to ~p2 over network	254
Ambiguous qualifier - ~p1	255
Amortized item account in use	256
Amortized item general ledger not set up	257
Amortized item wash account not set up	258
Amount entered exceeds master commitment available credit of $~p1	259
Amount entered for account ~p1 must be a partial payment for this due date 	260
Amount exceeds accrued int/div	261
Amount exceeds balance	262
Amount exceeds current year int/div	263
Amount exceeds current year negative interest	264
Cannot be changed from or to frequency method	265
Amount exceeds negative accrued interest	266
Amount exceeds positive accrued int/div	267
Amount exceeds prior year int/div	268
Amount exceeds prior year negative interest	269
Amount exceeds prior year penalty	270
Amount exceeds year-to-date penalty	271
Amount exceeds year-to-day int/div	272
Amount held exceeds total check amount	273
Amount input does not equal anticipated amount.  Override?	274
Amount is inconsistent with denomination	275
Amount is required for fixed amount payment/collection orders	276
Amount must be fixed for G/L orders	277
Amount must be greater than or equal to zero	278
Amount must be greater than zero	279
Minimum fee amount not required	280
Amount plus penalty exceeds balance	281
Maximum fee amount not required	282
Amount required	283
Amount threshold must be specified	284
An account detail entry already exists for CIF ~p1	285
An account must be linked to the card	286
Active Jobs	287
Analysis batch not posted	288
Analysis batch posted	289
Analysis for account ~p1 created	290
Analysis has been re-run for ~p1 accounts	291
Analysis has been run.  ~p1 loan(s) analyzed.	292
Analysis has not been re-run	293
Analysis has not been run.  ~p1 loan(s) analyzed.	294
Annual percentage rate equals ~p1%	295
Anticipated accrual recalculation complete	296
Anticipated accrual recalculation not completed	297
Anticipated credit limit ($~p1) exceeds maximum limit of ~p2	298
Any_Column	299
Abnormally Terminated Jobs	300
Application record ~p1 created	301
Application record ~p1 modified	302
Application record ~p1 not created	303
Application record ~p1 not modified	304
Archive global directory list not defined	305
Are you SURE you want to DELETE this voucher?	306
Are you sure?	307
Assess fee transaction to update current fee receivable	308
Cannot reverse secondary transactions	309
Auditor "ADDR" must be defined via function UTBL001	310
Authorization modified	311
Authorization not modified	312
Backup withholding not allowed with negative interest	313
Balance is equal to zero	314
Balance is less than zero	315
Balance required to renew	316
Balance tiers may not be repeated	317
Multiple records on file	318
More arguments than formal parameters	319
Document control bin cut	320
Document control bin not cut	321
Document control batch voided	322
Document control batch not voided	323
Batch expiration date is ~p1	324
Batch has been re-sequenced	325
Batch has been scheduled to restart	326
Batch has not been changed	327
Batch has not been re-sequenced	328
Batch has not been restarted	329
Batch is not eligible to be restarted	330
Batch may not be restarted prior to job number ~p1	331
Loan fee for account ~p1	332
Batch number ~p1 is currently set to run	333
Batch number ~p1 is currently set to stop	334
Batch out of balance by $ ~p1	335
List syntax ~p1 not recognized	336
Batch ~p1 already exists	337
Batch ~p1 does not exist	338
Batch ~p1 Job ~p2 flagged as complete	339
Batch ~p1 was not submitted originally	340
Batch ~p1, job ~p2 copied	341
Batch ~p1, job ~p2 moved	342
Batch ~p1.  Job ~p2 has not completed.	343
Batches linked to source	344
Beginning date must be earlier than or equal to the expiration date	345
Beginning-of-day incomplete - ~p1	346
Beginning-of-day not run	347
Beneficiary applies to death benefits only	348
Beneficiary required for death benefits	349
Bill amounts are outstanding on bill # ~p1	350
Bill must be created for ~p1	351
Billing date precedes scheduled next date	352
Billing due date of ~p1 precedes scheduled due date of ~p2	353
Billing precedes disbursement date	354
Billing precedes system date.  Bill will not be created automatically.	355
Bills for account ~p1 created	356
Bills for account ~p1 not created	357
Cursor ~p1 does not exist	358
From ~p1 to ~p2	359
Change frequency defined.  Must enter value.	360
Compounding frequency defined.  Must enter value.	361
Value of ~p1.~p2 has changed.  Update terminated.	362
Only one file allowed	363
All amounts converted to ~p1	364
Join expression expected	365
Circular Join ~p1 ~p2	366
Block size must be a multiple of the record size	367
Both transaction codes are credits	368
Both transaction codes are debits	369
Tables ~p1 and ~p2 foreign keys reference each other	370
Branch beginning-of-day complete	371
Branch codes for these checks are not the same	372
Invalid From clause	373
~p1 not supported	374
Branch end-of-day for ~p1 complete	375
Horizontal processing not supported by extentions	376
Record type modified. Review data item field and columns.	377
Branch end-of-day:  ~p1	378
Branch of ownership restricted to ~p1	379
Branch start-of-day stopped	380
Type cannot be modified when tied to accounts	381
Branch transfer stopped	382
Branch:  off-line	383
Branch:  on-line	384
Broker ~p1 created	385
Broker ~p1 deleted	386
Broker ~p1 modified	387
Broker ~p1 not created	388
Broker ~p1 not deleted	389
Broker ~p1 not modified	390
BRREG is the only computed data item allowed in query	391
Data Item Protection Transfer	392
Residual int/div will bring account negative	394
Only ~p1 consecutive check items available	395
Element already in use by this process	396
Build run-time routine	397
Business dates only	398
Calculated closeout amount is $~p1	399
Calculated column heading size is ~p1	400
Calculated fee ~p1 of ~p2 exceeds maximum amount of ~p3	401
Calculated rebate of $~p1 differs from amount entered	402
Calculation cannot be completed	403
Calendar ~p1 copied to ~p2	404
Calendar ~p1 modified	405
Calendar ~p1 not copied to ~p2	406
Calendar ~p1 not modified	407
Can only modify currency code on first transaction	408
Can only modify interim loan	409
Re-run date must be greater than posting date of ~p1	410
Function inappropriate for this account. Next processing date is in the future.	411
Change to column ~p1 not allowed	412
~p1 residual int/div not received: ~p2	413
Account not coded to track residual int/div	414
Cannot be a negative amount	415
Invalid file delimiter	416
Cannot be this customer's CIF number	417
Cannot cancel "on us" ~p1.  Use posting screen to reverse.	418
Cannot cancel EFT record with a status of ~p1	419
Cannot change currency code	420
Cannot change existing code	421
Cannot change from head while members linked to this CIF number	422
Cannot change to/from ESC group.	423
Cannot change.  Members still linked to this customer.	424
Cannot combine average yield and APR options	426
Cannot combine term and expiration date for teaser rate	427
Transfer to FX P&L ~p1 rate: ~p2	428
Fee target account does not exist	429
Cannot delete ... Associated with preauthorized transfer.	430
Cannot delete ... Head-of-household with members.	431
Cannot delete bin group 0 (zero)	432
Cannot delete EFT record with a status of ~p1	433
Cannot delete host	434
Cannot delete plan events	435
Cannot delete plan parameters	436
Cannot delete from statement group for account's primary CIF	437
Cannot delete.  Accounts linked to this CIF.	438
Unable to delete.  Beneficiary has received dist.	439
Cannot delete. Customer is a Retirement/Savings plan account beneficiary of CIF ~p1.	440
Cannot delete.  Customer is linked to investments.	441
Cannot delete.  Customer still has ATM card account.	442
Cannot delete.  In use by account ~p1.	443
Cannot delete. Retirement/Savings Plan account data exists for plan ~p1 for year ~p2.	444
Cannot delete.  Purge flag is not set.	445
Cannot determine default transaction amount	446
Transaction cannot be processed prior to disbursement date ~p1	447
Cannot effective-date closeouts prior to ~p1	448
Cannot effective-date prior to date last renewed	449
Cannot effective-date prior to opening date	450
Cannot effective-date.  ~p1 has been file-maintained.	451
Cannot enter base currency	452
Cannot error-correct exchange transactions in a single currency environment	453
Cannot have a balance tier without a rate	455
Cannot have a rate without a balance tier	456
Service charge fee account ~p1 is closed	457
Cannot have more than one account in a restricted group	458
Cannot link a transaction code to itself	460
Cannot link account to itself	461
Cannot link to a tiered index	462
Cannot mix error-correct and non error-correct transactions	464
Cannot modify amount on loan fee transaction. Please re-enter.	465
Cannot modify due date already billed	466
Cannot modify system-generated cash flow records	467
Cannot open account via file maintenance	468
Cannot open tape drive ~p1	469
Cannot process with negative accrual  ~p1	471
Cannot process.  Amount equals $~p1.	472
Cannot remove AP checks	473
Cannot reset.  Processing has occurred for the account since conversion.	474
Cannot restart after the next scheduled run date	475
Cannot restrict statement group one	476
Cannot reverse. Transaction posted prior to loan fee upgrade	477
Cannot transfer to a Retirement/Savings plan account	478
Use "+" if no fixed amount or function call defined	480
Cannot use add-on/discount loans	481
Cannot use AEC and RSP flag together	482
Cannot use AP and AEC flag together	483
Cannot use AP and RSP flag together	484
Cannot value date prior to ~p1	485
Card created	488
Card deleted	489
Card member created	490
Card member deleted	491
Card member modified	492
Card member not created	493
Card member not deleted	494
Card member not modified	495
Card modified	496
Card not created	497
Card not deleted	498
Card not modified	499
Card number already exists	500
Cash flow projections do not exist for this account	501
Cash flow record created	502
Cash flow record deleted	503
Cash flow record modified	504
Cash flow record not created	505
Cash flow record not deleted	506
Cash flow record not modified	507
Catch-up option is available only in conjunction with daily assessment option	508
CH transaction not valid for error-correct 	510
Change of TIN/SIN not allowed for form ~p1	512
Change results in multiple bills with same bill date	513
Change to credit limit exceeds commitment available balance	514
Character '/' is not allowed	516
Delimiters (e.g., vertical bar) and characters (e.g., quotation marks) not allowed	517
Charge information not collected	518
Charge information collected	519
Check charge waived - ~p1	520
Check clear completed	521
Check clear not completed	522
Check has been paid	523
Check hold table or check hold factor required	524
Check holds not allowed on group ~p1	525
Check Register Number advanced	526
Check Register Number not advanced	527
Check not issued	528
Check number already exists	529
Check number must be less than or equal to high check number	530
Check number not incremented	531
Check number required	532
Check number ~p1 does not exist for type ~p2	533
Check number ~p1 must be moved first	534
Check number ~p1 was already voided	535
Check register modified	536
Check register not modified	537
Check sequences cannot be defaulted	538
Check type ~p1 for branch ~p2 created	540
Check type ~p1 for branch ~p2 deleted	541
Check type ~p1 for branch ~p2 not created	542
Check type ~p1 for branch ~p2 not deleted	543
Check ~p1 exists in check register	544
Check ~p1 is allocated to branch ~p2	545
Chosen amount option requires offset account	546
CIF # ~p1 is not a head-of-household for type ~p2	547
CIF in use	548
CIF ~p1 is the primary owner of account(s)	550
Class error	552
Client message not present	553
Client/server connection failed	554
Closeout amount is negative	555
Closeout amount is not negative	556
Closeout effective in prior int/div posting period	557
Closeout effective prior to date last renewed	558
Closeout effective prior to history cutoff date	559
Code already exists	561
Collateral for account ~p1 created	564
Collateral for account ~p1 deleted	565
Collateral for account ~p1 modified	566
Collateral for account ~p1 not created	567
Collateral for account ~p1 not deleted	568
Collateral for account ~p1 not modified	569
Collateral linked to invalid collateral code	570
Collateral record already exists	571
Collateral record not released	572
Collateral record released	573
Collateral records not updated	574
Collateral records updated	575
Collateral type ~p1 is not linked to a supporting inquiry screen	576
Collection method must be zero (arrears) for int/div determined at payment	577
Collection record for account ~p1 not created	578
Collection record for account ~p1 not modified	579
Collection records for user ~p1 not transferred to user ~p2	580
Collection records for user ~p1 transferred to user ~p2	581
Commitment amounts not transferred	583
Commitment amounts transferred	584
Commitment links must be removed	585
Compilation error - no FMT line tag	586
Compilation error - ~p1	587
Compile authorization routine	588
Compile filer run-time routine	589
Compile screen first	590
Completed at ~p1	591
Completed at ~p1.  ~p2 loan record processed.	592
Compliance date must be the same as or after the action date	593
Compression	594
Computed data item	595
Computed data items not allowed - ~p1	597
Confirmation offset must exceed billing offset of ~p1 days	599
Conflict between fee type and escrow type	600
Contact the system manager	601
Contents file for image ~p1 created	602
Continue?	603
Control-Z entered 	606
Conversion data has not been entered	608
Conversion escrow file for account ~p1 created	609
Conversion escrow file for account ~p1 not created	610
Conversion for account ~p1 initialized	611
Conversion for account ~p1 not initialized	612
Conversion must be processed prior to loan billing	613
Convertible loan notice for account ~p1 modified	614
Convertible loan notice for account ~p1 not modified	615
Copy all data items from ~p1 file	617
Correct amount for check number ~p1 is ~p2	618
Cost center must be numeric	626
~p1:Stmt CIF ~p2 Deleted (Summary)	627
Could not delete transactions.  Deletion stopped.	628
Could not delete transactions.  Modification stopped.	629
Could not place hold	630
Count cannot be negative	631
Count must be greater than zero when adding to existing loan	632
Coupon order for account ~p1 created	633
Coupon order for account ~p1 deleted	634
Coupon order for account ~p1 modified	635
Coupon order for account ~p1 not created	636
Coupon order for account ~p1 not deleted	637
Coupon order for account ~p1 not modified	638
Create new data item	639
Create new field	640
Create new margin	641
Create new rates	642
~p1:Stmt CIF ~p2 Deleted (Detail)	643
Create report table first	644
Create run-time filer routine first	645
Buffer ~p1 rolled back	646
Create,Modify,Display,Delete,Print	647
Created,Modified,Displayed,Deleted,Printed	648
Credit limit expiration must be later than disbursement date (~p1)	649
Credit limit for ~p1 exceeds undisbursed balance for ~p2	650
Credit transaction code ~p1 and CR* conflict	651
Cross-reference files have been created	652
CRT device not tied	653
CRT device tied	654
Currency code of target account not consistent with source account	655
Currency code ~p1 created	656
Currency code ~p1 deleted	657
Currency code ~p1 modified	658
Currency code ~p1 not created	659
Currency code ~p1 not deleted	660
Currency code ~p1 not modified	661
Currency code ~p1 rates created	662
Currency code ~p1 rates deleted	663
Currency code ~p1 rates modified	664
Currency code ~p1 rates not created	665
Currency code ~p1 rates not deleted	666
Currency code ~p1 rates not modified	667
Currency code ~p1 relationship created	668
Currency code ~p1 relationship deleted	669
Currency code ~p1 relationship modified	670
Currency code ~p1 relationship not created	671
Currency code ~p1 relationship not deleted	672
Currency code ~p1 relationship not modified	673
Currency cross-reference files maintained	674
Currency does not permit cash transactions	675
Currency must be ~p1	676
Currency number ~p1 is assigned to currency code ~p2	677
Currency ~p1 already entered	678
Currency ~p1 is not convertible	679
Must enter frequency when electronic statement flag is turned on	680
Current frequency is ~p1	681
Current relationship code is ~p1	682
Currently active	683
Currently being set up	684
Currently inactive	685
Currently printing	686
CUSIP has invalid check digit '~p1'.  Should be '~p2'.	687
CUSIP number already exists	688
CUSIP number does not exist	689
CUSIP number is null	690
CUSIP number must be 8 or 9 digits/characters	691
CUSIP number ~p1 created	692
CUSIP number ~p1 deleted	693
CUSIP number ~p1 modified	694
CUSIP number ~p1 not created	695
CUSIP number ~p1 not deleted	696
CUSIP number ~p1 not modified	697
Custom routine complete	698
Custom routine not defined within statement parameters	699
Customer has paid all amounts due and/or billed	700
Customer number does not exist in tickler file	701
Customer or commitment required	702
Customer ~p1 created	703
Customer ~p1 deleted	704
Customer ~p1 Retirement/Savings plan account auto-distribution created	705
Customer ~p1 Retirement/Savings plan account auto-distribution deleted	706
Customer ~p1 Retirement/Savings plan account auto-distribution modified	707
Customer ~p1 Retirement/Savings plan account auto-distribution not created	708
Customer ~p1 Retirement/Savings plan account auto-distribution not deleted	709
Customer ~p1 Retirement/Savings plan account auto-distribution not modified	710
Customer ~p1 modified	711
Customer ~p1 not created	712
Customer ~p1 not deleted	713
Customer ~p1 not modified	714
Customer ~p1 ~p2 Retirement/Savings plan account information modified	715
Customer ~p1 ~p2 Retirement/Savings plan account information not modified	716
Customer ~p1, batch ~p2 created	717
Customer ~p1, batch ~p2 deleted	718
Customer ~p1, batch ~p2 modified	719
Customer ~p1, batch ~p2 not created	720
Customer ~p1, batch ~p2 not deleted	721
Customer ~p1, batch ~p2 not modified	722
Invalid. Fee plan ~p1 in use by at least one account.	723
Fee target account must be a deposit account	724
Daily maximum not allowed unless charged at time of service (Chg Opt=1)	725
Fee target account is closed	726
Fee target account's currency is not convertible	727
Data item cannot be file-maintained	728
Data item changes will not be translated to accounts	729
General Ledger is posted	730
Data item name required	731
Data item not defined	732
Data item ~p1 cannot be used on this screen with ~p2	733
Data item selected is not a logical data item	734
Data item set definition error (~p1)	735
Data item ~p1 created	736
Data item ~p1 deleted	737
Data item ~p1 modified	738
Data item ~p1 not defined	739
Data item ~p1 not modified	740
Data required	741
Data type is defined as ~p1	742
DATA-QWIK library ~p1 added	743
Index or foreign key definition exists.  Delete before continuing.	744
Date entered is a non-business day	745
Date entered must be after system date (~p1)	746
Delinquency reclassification override exists on CIF	747
Date may not precede system date	748
Invalid escrow account	749
Date must be after the card issue date	750
Date must be after the system processing date	751
Date must be in the future	752
Date must be the same as or before the system date	753
Date must be within the year specified	754
Date must not be in the past	755
Satisfied date precedes date through which paid for account ~p1	756
Dates for these checks are not the same	757
Day-end integrity not run	758
Day-end processing continuing	759
Day-end processing not continuing	760
Dayend event stopped due to unclosed branch transaction files	761
Days held ~p1 for factor #~p2 must be greater than #~p3	762
Must manually calculate prior period int/div withholding adjustment	763
DDP logical not defined	764
DDP network transfer queue not created	765
DDP network transfer queue ~p1 filed	766
DDP transfer queue not created	767
End-of-day not run	768
Debit balance loans only	769
Int/Div index requires int/div change frequency	770
Debit transaction code ~p1 and DR* conflict	771
Debit transactions only	772
Debt issue numbers cannot contain I, 1, O, or 0	773
Decimal error NN.~p1	774
Decimal precision error	775
Decrease amount cannot be greater than undisbursed amount of $~p1	776
Default amount must be less than or equal to the maximum amount	777
Default offset not enabled	778
Default transaction deleted	779
Null calculation option requires subsidy percentage to be defined	780
~p1 fees added plan ~p2	781
Bill record elements may not be deleted	782
Cannot delete fee if in payment string	783
Collateral record does not exist	784
Subsidy change for ~p1 from ~p2 to ~p3	785
Deferred fee balance is equal to $~p1	786
Deferred Int/Div Capitalization Option FR requires a frequency	787
Define group ~p1 first	788
Define plan parameters first	789
Delete Access	790
Delete all data from data item ~p1	791
Delete Collating	792
Delete comments	793
Memo or Binary field is valid for record type 1 only	794
Delete empty menu	795
Delete history first	796
Delete post-processor	797
Delete pre-processor	798
Delete processor	799
Memo or binary field already assigned to ~p1	800
Binary field is the only non-key data item allowed in a file	801
Delete transaction Sequence Number ~p1	802
Service charge fee account must be a deposit account	803
Int/Div transfer account ~p1 is closed	804
Deleted	805
Deletion is restricted	806
Deletion of G/L set code is not allowed	807
Int/Div transfer account must be a deposit account	808
Deposit/withdrawal frequency required	809
Cannot transfer int/div to a Retirement/Savings plan account	810
Cannot transfer int/div to a retirement account	811
Designate value to be calculated	812
Rollover transfer to same account restricted	813
Detail entry for account ~p1 created	814
Detail entry for account ~p1 deleted	815
Detail entry for account ~p1 modified	816
Detail entry for account ~p1 not created	817
Detail entry for account ~p1 not deleted	818
Detail entry for account ~p1 not modified	819
Detail option limited to one statement group	820
Detail option must be selected for one statement group	821
Device currently in use	822
Device ~p1 created	823
Device ~p1 deleted	824
Device ~p1 modified	825
Device ~p1 not created	826
Device ~p1 not deleted	827
Device ~p1 not modified	828
Device: 	829
Disbursement amount must be greater than zero	830
Disbursement schedule already created	831
Disbursement schedule not on file	832
Rollover transfer account must be a deposit account	833
Rollover transfer account ~p1 is closed	834
Display table in single column	835
Invalid service charge fee account	836
Division by zero - DIST1AF	837
Do not enter a # symbol	838
Do not include file extension	839
Do not use parentheses	840
Reclassified principal is greater than computed balance	841
Reclassified int/div is greater than accrued int/div	842
Reclassified fees are greater than miscellaneous fees 	843
Reclassified late charge is greater than late charge	844
Account missing data item necessary for accrual calculations ~p1	845
Reversed	846
Another EFT process is currently running	847
High volume account reject	848
Document ~p1 not printed	849
Document ~p1 printed	850
Domain references exist	851
Domain ~p1 created	852
Domain ~p1 deleted	853
Domain ~p1 modified	854
Done	855
Reverse intervening transactions first	856
Draft number required	857
Draft sale information collected	858
Draft sale information not collected	859
Due date for account ~p1 advanced	860
Due date for account ~p1 not advanced	861
Due payment includes amounts other than P&I	862
Duplicate accounts not allowed	863
Duplicate authorization	864
Duplicate CIF number ~p1	865
Account not set up for loan payment sweep processing	866
Duplicate CIF type already entered	867
Duplicate disbursement date	868
Duplicate job previously entered	869
Duplicate key name ~p1	870
Duplicate name - ~p1	871
Duplicate transaction (sequence # ~p1)	872
E/C transactions cannot be error-corrected	873
Retirement/Savings plan identification flag does not equal RRIF or LIF	874
Effective date may not be greater than ~p1	875
Effective date may not be in the future	876
Send the data transferred to SQL clients only	877
Effective date may not be prior to ~p1	878
Effective date must be the same as or after the system date	879
Effective date must be the same as or before the system date	880
Effective date must equal last analysis date in customer setup	881
Effective-dated closeout must be the first entry on the screen	883
Effective-dated maintenance for account ~p1 deleted	884
Effective-dated maintenance for account ~p1 not deleted	885
Effective-dating not enabled	886
EFT record number ~p1 does not exist	887
Either directory or system is invalid	888
Element ~p1 invalid	889
Element ~p1 repeated	890
End date must be after start date	891
End of Script	892
Ending cash ~p1	893
Required for LIF Retirement/Savings plan type	894
Ending check number must be greater than or equal to starting check number	895
Ending date must be after beginning date	896
Ending date must be the same as or after the system date	897
Ending number must be greater than beginning number	898
Subsidy Payment Amount exceeds Subsidy Amount Remaining	899
Enter ""CIF"" or group account number	900
Authorized Overdraft data items cannot be used with Index Tier data items	901
Enter '+' or '-'	902
Enter 'A' for ASCII or 'E' for EBCDIC	903
